sensor_id,timestamp,value,expected_value,deviation_pct,sample_count,scenario_event
900101,2026-06-08T00:00:00Z,67.039,67.384,-0.51,12,
900102,2026-06-08T00:00:00Z,29.558,29.582,-0.08,12,
900103,2026-06-08T00:00:00Z,23.863,23.802,0.25,12,
900104,2026-06-08T00:00:00Z,12.152,12.18,-0.23,12,
900105,2026-06-08T00:00:00Z,8.788,8.901,-1.27,12,
900106,2026-06-08T00:00:00Z,17.517,17.802,-1.6,12,
900107,2026-06-08T00:00:00Z,11.887,11.928,-0.35,12,
900108,2026-06-08T00:00:00Z,11.677,11.581,0.83,12,
900109,2026-06-08T00:00:00Z,20.103,20.367,-1.29,12,
900110,2026-06-08T00:00:00Z,19.06,19.06,0.0,12,
900111,2026-06-08T00:00:00Z,67.384,67.384,0.0,12,
900112,2026-06-08T00:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T01:00:00Z,67.796,67.384,0.61,12,
900102,2026-06-08T01:00:00Z,30.092,29.582,1.72,12,
900103,2026-06-08T01:00:00Z,23.973,23.802,0.72,12,
900104,2026-06-08T01:00:00Z,12.215,12.18,0.28,12,
900105,2026-06-08T01:00:00Z,9.042,8.901,1.58,12,
900106,2026-06-08T01:00:00Z,18.085,17.802,1.59,12,
900107,2026-06-08T01:00:00Z,11.986,11.928,0.49,12,
900108,2026-06-08T01:00:00Z,11.475,11.581,-0.92,12,
900109,2026-06-08T01:00:00Z,20.218,20.367,-0.73,12,
900110,2026-06-08T01:00:00Z,18.59,18.59,0.0,12,
900111,2026-06-08T01:00:00Z,67.384,67.384,0.0,12,
900112,2026-06-08T01:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T02:00:00Z,66.18,67.384,-1.79,12,
900102,2026-06-08T02:00:00Z,29.298,29.582,-0.96,12,
900103,2026-06-08T02:00:00Z,23.451,23.802,-1.48,12,
900104,2026-06-08T02:00:00Z,12.249,12.18,0.57,12,
900105,2026-06-08T02:00:00Z,9.034,8.901,1.49,12,
900106,2026-06-08T02:00:00Z,17.618,17.802,-1.04,12,
900107,2026-06-08T02:00:00Z,11.759,11.928,-1.42,12,
900108,2026-06-08T02:00:00Z,11.629,11.581,0.41,12,
900109,2026-06-08T02:00:00Z,20.385,20.367,0.09,12,
900110,2026-06-08T02:00:00Z,18.43,18.43,0.0,12,
900111,2026-06-08T02:00:00Z,67.384,67.384,0.0,12,
900112,2026-06-08T02:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T03:00:00Z,68.001,67.384,0.92,12,
900102,2026-06-08T03:00:00Z,29.438,29.582,-0.48,12,
900103,2026-06-08T03:00:00Z,24.131,23.802,1.38,12,
900104,2026-06-08T03:00:00Z,12.078,12.18,-0.84,12,
900105,2026-06-08T03:00:00Z,9.042,8.901,1.58,12,
900106,2026-06-08T03:00:00Z,18.07,17.802,1.5,12,
900107,2026-06-08T03:00:00Z,11.963,11.928,0.29,12,
900108,2026-06-08T03:00:00Z,11.623,11.581,0.36,12,
900109,2026-06-08T03:00:00Z,20.608,20.367,1.19,12,
900110,2026-06-08T03:00:00Z,18.99,18.99,0.0,12,
900111,2026-06-08T03:00:00Z,67.384,67.384,0.0,12,
900112,2026-06-08T03:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T04:00:00Z,97.253,96.547,0.73,12,
900102,2026-06-08T04:00:00Z,45.322,45.393,-0.16,12,
900103,2026-06-08T04:00:00Z,36.931,37.154,-0.6,12,
900104,2026-06-08T04:00:00Z,21.643,21.316,1.53,12,
900105,2026-06-08T04:00:00Z,15.746,15.577,1.09,12,
900106,2026-06-08T04:00:00Z,30.789,31.154,-1.17,12,
900107,2026-06-08T04:00:00Z,11.978,12.174,-1.61,12,
900108,2026-06-08T04:00:00Z,11.772,11.792,-0.17,12,
900109,2026-06-08T04:00:00Z,21.792,21.631,0.74,12,
900110,2026-06-08T04:00:00Z,19.62,19.62,0.0,12,
900111,2026-06-08T04:00:00Z,96.547,96.547,0.0,12,
900112,2026-06-08T04:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T05:00:00Z,120.41,119.229,0.99,12,
900102,2026-06-08T05:00:00Z,56.863,57.69,-1.43,12,
900103,2026-06-08T05:00:00Z,46.684,47.539,-1.8,12,
900104,2026-06-08T05:00:00Z,28.83,28.421,1.44,12,
900105,2026-06-08T05:00:00Z,20.832,20.769,0.3,12,
900106,2026-06-08T05:00:00Z,41.458,41.539,-0.19,12,
900107,2026-06-08T05:00:00Z,12.587,12.365,1.79,12,
900108,2026-06-08T05:00:00Z,11.814,11.956,-1.18,12,
900109,2026-06-08T05:00:00Z,22.404,22.615,-0.93,12,
900110,2026-06-08T05:00:00Z,20.53,20.53,0.0,12,
900111,2026-06-08T05:00:00Z,119.229,119.229,0.0,12,
900112,2026-06-08T05:00:00Z,8.5,8.5,0.0,12,
900101,2026-06-08T06:00:00Z,143.65,144.151,-0.35,12,
900102,2026-06-08T06:00:00Z,71.922,71.202,1.01,12,
900103,2026-06-08T06:00:00Z,59.037,58.949,0.15,12,
900104,2026-06-08T06:00:00Z,36.446,36.228,0.6,12,
900105,2026-06-08T06:00:00Z,26.619,26.474,0.55,12,
900106,2026-06-08T06:00:00Z,52.265,52.949,-1.29,12,
900107,2026-06-08T06:00:00Z,12.363,12.556,-1.54,12,
900108,2026-06-08T06:00:00Z,12.056,12.12,-0.53,12,
900109,2026-06-08T06:00:00Z,23.983,23.696,1.21,12,
900110,2026-06-08T06:00:00Z,21.79,21.79,0.0,12,
900111,2026-06-08T06:00:00Z,144.151,144.151,0.0,12,
