sensor_id,source,external_id,external_key,label
sensor_0001,source_system_a,ext_3532,key_3832,Heating meter 001
sensor_0002,source_system_a,ext_3538,key_3839,Heating meter 002
sensor_0003,source_system_a,ext_3546,key_3853,Chilled water meter 003
sensor_0004,source_system_a,ext_0095,key_1958,Chilled water meter 004
sensor_0005,source_system_a,ext_0103,key_1869,Heating meter 005
sensor_0006,source_system_a,ext_4549,key_1678,Chilled water meter 006
sensor_0007,source_system_a,ext_3285,key_3154,Heating meter 007
sensor_0008,source_system_a,ext_0371,key_2214,Heating meter 008
sensor_0009,source_system_a,ext_2600,key_2110,Chilled water meter 009
sensor_0010,source_system_a,ext_1494,key_0099,Heating meter 010
sensor_0011,source_system_a,ext_3033,key_2160,Heating meter 011
sensor_0012,source_system_a,ext_2829,key_1995,Heating meter 012
sensor_0013,source_system_a,ext_3591,key_3918,Electricity meter 013
sensor_0014,source_system_a,ext_3586,key_3914,Electricity meter 014
sensor_0015,source_system_a,ext_0121,key_1367,Heating meter 015
sensor_0016,source_system_a,ext_1343,key_1471,Heating meter 016
sensor_0017,source_system_a,ext_2751,key_2906,Chilled water meter 017
sensor_0018,source_system_a,ext_2575,key_1197,Heating meter 018
sensor_0019,source_system_a,ext_2668,key_1574,Chilled water meter 019
sensor_0020,source_system_a,ext_3571,key_3887,Chilled water meter 020
sensor_0021,source_system_a,ext_3585,key_3913,Electricity meter 021
sensor_0022,source_system_a,ext_2586,key_0258,Heating meter 022
sensor_0023,source_system_a,ext_2574,key_1365,Heating meter 023
sensor_0024,source_system_a,ext_2598,key_1447,Chilled water meter 024
sensor_0025,source_system_a,ext_3583,key_3910,Water meter 025
sensor_0026,source_system_a,ext_3254,key_3077,Heating meter 026
sensor_0027,source_system_a,ext_3266,key_3118,Heating meter 027
sensor_0028,source_system_a,ext_0355,key_2229,Chilled water meter 028
sensor_0029,source_system_a,ext_2577,key_0189,Heating meter 029
sensor_0030,source_system_a,ext_3544,key_3851,Chilled water meter 030
sensor_0031,source_system_a,ext_1458,key_2726,Heating meter 031
sensor_0032,source_system_a,ext_3563,key_3879,Chilled water meter 032
sensor_0033,source_system_a,ext_3533,key_3833,Heating meter 033
sensor_0035,source_system_a,ext_2576,key_0191,Heating meter 035
sensor_0036,source_system_a,ext_1894,key_1303,Heating meter 036
sensor_0037,source_system_a,ext_3584,key_3912,Water meter 037
sensor_0038,source_system_a,ext_3568,key_3884,Chilled water meter 038
sensor_0039,source_system_a,ext_3253,key_3075,Heating meter 039
sensor_0040,source_system_a,ext_3530,key_3830,Heating meter 040
