sensor_id,name,device_id,unit,irregular,cumulative,energy_type,source_type,protected
sensor_0001,Heating meter 001,device_0001,kWh,True,True,heating,,False
sensor_0002,Heating meter 002,device_0001,kWh,True,True,heating,,False
sensor_0003,Chilled water meter 003,device_0001,kWh,True,True,cold,,False
sensor_0004,Chilled water meter 004,device_0001,kWh,True,True,cold,,False
sensor_0005,Heating meter 005,device_0001,kWh,True,True,heating,,False
sensor_0006,Chilled water meter 006,device_0001,kWh,True,True,cold,,False
sensor_0007,Heating meter 007,device_0001,kWh,True,True,heating,,False
sensor_0008,Heating meter 008,device_0001,kWh,True,True,heating,,False
sensor_0009,Chilled water meter 009,device_0001,kWh,True,True,cold,,False
sensor_0010,Heating meter 010,device_0001,kWh,True,True,heating,,False
sensor_0011,Heating meter 011,device_0001,kWh,True,True,heating,,False
sensor_0012,Heating meter 012,device_0001,kWh,True,True,heating,,False
sensor_0013,Electricity meter 013,device_0001,kWh,True,True,electricity,,False
sensor_0014,Electricity meter 014,device_0001,kWh,True,True,electricity,,False
sensor_0015,Heating meter 015,device_0001,kWh,True,True,heating,,False
sensor_0016,Heating meter 016,device_0001,kWh,True,True,heating,,False
sensor_0017,Chilled water meter 017,device_0001,kWh,True,True,cold,,False
sensor_0018,Heating meter 018,device_0001,kWh,True,True,heating,,False
sensor_0019,Chilled water meter 019,device_0001,kWh,True,True,cold,,False
sensor_0020,Chilled water meter 020,device_0001,kWh,True,True,cold,,False
sensor_0021,Electricity meter 021,device_0001,kWh,True,True,electricity,,False
sensor_0022,Heating meter 022,device_0001,kWh,True,True,heating,,False
sensor_0023,Heating meter 023,device_0001,kWh,True,True,heating,,False
sensor_0024,Chilled water meter 024,device_0001,kWh,True,True,cold,,False
sensor_0025,Water meter 025,device_0001,m³,True,True,water,,False
sensor_0026,Heating meter 026,device_0001,kWh,True,True,heating,,False
sensor_0027,Heating meter 027,device_0001,kWh,True,True,heating,,False
sensor_0028,Chilled water meter 028,device_0001,kWh,True,True,cold,,False
sensor_0029,Heating meter 029,device_0001,kWh,True,True,heating,,False
sensor_0030,Chilled water meter 030,device_0001,kWh,True,True,cold,,False
sensor_0031,Heating meter 031,device_0001,kWh,True,True,heating,,False
sensor_0032,Chilled water meter 032,device_0001,kWh,True,True,cold,,False
sensor_0033,Heating meter 033,device_0001,kWh,True,True,heating,,False
sensor_0034,Utility meter 034,device_0001,kWh,True,True,,,False
sensor_0035,Heating meter 035,device_0001,kWh,True,True,heating,,False
sensor_0036,Heating meter 036,device_0001,kWh,True,True,heating,,False
sensor_0037,Water meter 037,device_0001,m³,True,True,water,,False
sensor_0038,Chilled water meter 038,device_0001,kWh,True,True,cold,,False
sensor_0039,Heating meter 039,device_0001,kWh,True,True,heating,,False
sensor_0040,Heating meter 040,device_0001,kWh,True,True,heating,,False
sensor_0041,Chilled water meter 041,device_0001,kWh,True,True,cold,,False
sensor_0042,Heating meter 042,device_0001,kWh,True,True,heating,,False
sensor_0043,Heating meter 043,device_0001,kWh,True,True,heating,,False
sensor_0044,Heating meter 044,device_0001,kWh,True,True,heating,,False
sensor_0045,Heating meter 045,device_0001,kWh,True,True,heating,,False
sensor_0046,Heating meter 046,device_0001,kWh,True,True,heating,,False
sensor_0047,Heating meter 047,device_0001,kWh,True,True,heating,,False
sensor_0048,Chilled water meter 048,device_0001,kWh,True,True,cold,,False
sensor_0049,Chilled water meter 049,device_0001,kWh,True,True,cold,,False
sensor_0050,Utility meter 050,device_0001,kWh,True,True,,,False
sensor_0051,Chilled water meter 051,device_0001,kWh,True,True,cold,,False
sensor_0052,Heating meter 052,device_0001,kWh,True,True,heating,,False
sensor_0053,Electricity meter 053,device_0001,kWh,True,True,electricity,,False
sensor_0054,Chilled water meter 054,device_0001,kWh,True,True,cold,,False
sensor_0055,Heating meter 055,device_0001,kWh,True,True,heating,,False
sensor_0056,Heating meter 056,device_0001,kWh,True,True,heating,,False
sensor_0057,Heating meter 057,device_0001,kWh,True,True,heating,,False
sensor_0058,Chilled water meter 058,device_0001,kWh,True,True,cold,,False
sensor_0059,Heating meter 059,device_0001,kWh,True,True,heating,,False
sensor_0060,Electricity meter 060,device_0001,kWh,True,True,electricity,,False
sensor_0061,Heating meter 061,device_0001,kWh,True,True,heating,,False
sensor_0062,Chilled water meter 062,device_0001,kWh,True,True,cold,,False
sensor_0063,Heating meter 063,device_0001,kWh,True,True,heating,,False
sensor_0064,Heating meter 064,device_0001,kWh,True,True,heating,,False
sensor_0065,Chilled water meter 065,device_0001,kWh,True,True,cold,,False
sensor_0066,Chilled water meter 066,device_0001,kWh,True,True,cold,,False
sensor_0067,Water meter 067,device_0001,m³,True,True,water,,False
sensor_0068,Heating meter 068,device_0001,kWh,True,True,heating,,False
sensor_0069,Heating meter 069,device_0001,kWh,True,True,heating,,False
sensor_0070,Chilled water meter 070,device_0001,kWh,True,True,cold,,False
sensor_0071,Water meter 071,device_0001,m³,True,True,water,,False
sensor_0072,Chilled water meter 072,device_0001,kWh,True,True,cold,,False
sensor_0073,Chilled water meter 073,device_0001,kWh,True,True,cold,,False
sensor_0074,Heating meter 074,device_0001,kWh,True,True,heating,,False
sensor_0075,Water meter 075,device_0001,m³,True,True,water,,False
sensor_0076,Heating meter 076,device_0001,kWh,True,True,heating,,False
sensor_0077,Chilled water meter 077,device_0001,kWh,True,True,cold,,False
sensor_0078,Chilled water meter 078,device_0001,kWh,True,True,cold,,False
sensor_0079,Chilled water meter 079,device_0001,kWh,True,True,cold,,False
sensor_0080,Chilled water meter 080,device_0001,kWh,True,True,cold,,False
sensor_0081,Chilled water meter 081,device_0001,kWh,True,True,cold,,False
sensor_0082,Chilled water meter 082,device_0001,kWh,True,True,cold,,False
sensor_0083,Chilled water meter 083,device_0001,kWh,True,True,cold,,False
sensor_0084,Chilled water meter 084,device_0001,kWh,True,True,cold,,False
sensor_0085,Heating meter 085,device_0001,kWh,True,True,heating,,False
sensor_0086,Chilled water meter 086,device_0001,kWh,True,True,cold,,False
sensor_0087,Heating meter 087,device_0001,kWh,True,True,heating,,False
sensor_0088,Chilled water meter 088,device_0001,kWh,True,True,cold,,False
sensor_0089,Heating meter 089,device_0001,kWh,True,True,heating,,False
sensor_0090,Heating meter 090,device_0001,kWh,True,True,heating,,False
sensor_0091,Chilled water meter 091,device_0001,kWh,True,True,cold,,False
sensor_0092,Water meter 092,device_0001,m³,True,True,water,,False
sensor_0093,Electricity meter 093,device_0001,kWh,True,True,electricity,,False
sensor_0094,Heating meter 094,device_0001,kWh,True,True,heating,,False
sensor_0095,Heating meter 095,device_0001,kWh,True,True,heating,,False
sensor_0096,Electricity meter 096,device_0001,kWh,True,True,electricity,,False
sensor_0097,Electricity meter 097,device_0001,kWh,True,True,electricity,,False
sensor_0098,Heating meter 098,device_0001,kWh,True,True,heating,,False
sensor_0099,Electricity meter 099,device_0001,kWh,True,True,electricity,,False
sensor_0100,Heating meter 100,device_0001,kWh,True,True,heating,,False
sensor_0101,Heating meter 101,device_0001,kWh,True,True,heating,,False
sensor_0102,Chilled water meter 102,device_0001,kWh,True,True,cold,,False
sensor_0103,Heating meter 103,device_0001,kWh,True,True,heating,,False
sensor_0104,Heating meter 104,device_0001,kWh,True,True,heating,,False
sensor_0105,Chilled water meter 105,device_0001,kWh,True,True,cold,,False
sensor_0106,Heating meter 106,device_0001,kWh,True,True,heating,,False
sensor_0107,Heating meter 107,device_0001,kWh,True,True,heating,,False
sensor_0108,Heating meter 108,device_0001,kWh,True,True,heating,,False
sensor_0109,Chilled water meter 109,device_0001,kWh,True,True,cold,,False
sensor_0110,Chilled water meter 110,device_0001,kWh,True,True,cold,,False
sensor_0111,Chilled water meter 111,device_0001,kWh,True,True,cold,,False
sensor_0112,Chilled water meter 112,device_0001,kWh,True,True,cold,,False
sensor_0113,Heating meter 113,device_0001,kWh,True,True,heating,,False
sensor_0114,Chilled water meter 114,device_0001,kWh,True,True,cold,,False
sensor_0115,Chilled water meter 115,device_0001,kWh,True,True,cold,,False
sensor_0116,Heating meter 116,device_0001,kWh,True,True,heating,,False
sensor_0117,Chilled water meter 117,device_0001,kWh,True,True,cold,,False
sensor_0118,Heating meter 118,device_0001,kWh,True,True,heating,,False
sensor_0119,Chilled water meter 119,device_0001,kWh,True,True,cold,,False
sensor_0120,Chilled water meter 120,device_0001,kWh,True,True,cold,,False
sensor_0121,Heating meter 121,device_0001,kWh,True,True,heating,,False
sensor_0122,Heating meter 122,device_0001,kWh,True,True,heating,,False
sensor_0123,Heating meter 123,device_0001,kWh,True,True,heating,,False
sensor_0124,Heating meter 124,device_0001,kWh,True,True,heating,,False
sensor_0125,Heating meter 125,device_0001,kWh,True,True,heating,,False
sensor_0126,Electricity meter 126,device_0001,kWh,True,True,electricity,,False
sensor_0127,Heating meter 127,device_0001,kWh,True,True,heating,,False
sensor_0128,Heating meter 128,device_0001,kWh,True,True,heating,,False
sensor_0129,Heating meter 129,device_0001,kWh,True,True,heating,,False
sensor_0130,Heating meter 130,device_0001,kWh,True,True,heating,,False
