sensor_id,attribute,value
910101,node_id,grid_import
910101,role,source
910101,branch,grid
910101,demo_relevance,hero_chain
910102,node_id,campus_load
910102,role,load
910102,branch,campus
910102,demo_relevance,context
910103,node_id,pv_output
910103,role,source
910103,branch,renewable
910103,demo_relevance,context
910104,node_id,chp_output
910104,role,source
910104,branch,chp
910104,demo_relevance,context
910105,node_id,battery_power
910105,role,storage
910105,branch,battery
910105,demo_relevance,hero_chain
910106,node_id,battery_soc
910106,role,storage
910106,branch,battery
910106,demo_relevance,context
910201,node_id,chiller_power
910201,role,plant
910201,branch,cooling
910201,demo_relevance,context
910202,node_id,chw_supply_temp
910202,role,control
910202,branch,cooling
910202,demo_relevance,hero_chain
910203,node_id,chw_return_temp
910203,role,return
910203,branch,cooling
910203,demo_relevance,context
910204,node_id,chiller_cop
910204,role,efficiency
910204,branch,cooling
910204,demo_relevance,hero_chain
910205,node_id,north_chw_flow
910205,role,branch
910205,branch,north
910205,demo_relevance,context
910301,node_id,or_ahu_load
910301,role,consumer
910301,branch,or
910301,demo_relevance,context
910302,node_id,or_humidity
910302,role,comfort
910302,branch,or
910302,demo_relevance,hero_chain
910303,node_id,lab_cooling_load
910303,role,consumer
910303,branch,lab
910303,demo_relevance,context
910304,node_id,data_center_cooling
910304,role,consumer
910304,branch,datacenter
910304,demo_relevance,context
910401,node_id,boiler_gas
910401,role,plant
910401,branch,thermal
910401,demo_relevance,context
910402,node_id,thermal_storage
910402,role,storage
910402,branch,cooling
910402,demo_relevance,context
910501,node_id,outdoor_temp
910501,role,reference
910501,branch,weather
910501,demo_relevance,context
910502,node_id,outdoor_humidity
910502,role,reference
910502,branch,weather
910502,demo_relevance,context
