sensor_id,timestamp,value,expected_value,deviation_pct,sample_count,scenario_event
910101,2026-04-20T00:00:00Z,2411.7,2411.7,0,12,
910102,2026-04-20T00:00:00Z,1940,1940,0,12,
910103,2026-04-20T00:00:00Z,0,0,,12,
910104,2026-04-20T00:00:00Z,520,520,0,12,
910105,2026-04-20T00:00:00Z,0,0,,12,
910106,2026-04-20T00:00:00Z,90.536,88,2.88,12,
910201,2026-04-20T00:00:00Z,991.7,991.7,0,12,
910202,2026-04-20T00:00:00Z,7.1,7,1.43,12,
910203,2026-04-20T00:00:00Z,12.4,12.6,-1.59,12,
910204,2026-04-20T00:00:00Z,4.6,4.6,0,12,
910205,2026-04-20T00:00:00Z,790.25,790.25,0,12,
910301,2026-04-20T00:00:00Z,315,305,3.28,12,
910302,2026-04-20T00:00:00Z,51,52,-1.92,12,
910303,2026-04-20T00:00:00Z,250,250,0,12,
910304,2026-04-20T00:00:00Z,316.137,330,-4.2,12,
910401,2026-04-20T00:00:00Z,510,510,0,12,
910402,2026-04-20T00:00:00Z,92,92,0,12,
910501,2026-04-20T00:00:00Z,22,22,0,12,
910502,2026-04-20T00:00:00Z,59,59,0,12,
910101,2026-04-20T01:00:00Z,2412.265,2412.265,0,12,
910102,2026-04-20T01:00:00Z,1940,1940,0,12,
910103,2026-04-20T01:00:00Z,0,0,,12,
910104,2026-04-20T01:00:00Z,520,520,0,12,
910105,2026-04-20T01:00:00Z,0,0,,12,
910106,2026-04-20T01:00:00Z,88.902,86,3.37,12,
910201,2026-04-20T01:00:00Z,992.265,992.265,0,12,
910202,2026-04-20T01:00:00Z,7.1,7,1.43,12,
910203,2026-04-20T01:00:00Z,12.4,12.6,-1.59,12,
910204,2026-04-20T01:00:00Z,4.6,4.6,0,12,
910205,2026-04-20T01:00:00Z,790.829,790.829,0,12,
910301,2026-04-20T01:00:00Z,315.808,305.808,3.27,12,
910302,2026-04-20T01:00:00Z,51,52,-1.92,12,
910303,2026-04-20T01:00:00Z,250.538,250.538,0,12,
910304,2026-04-20T01:00:00Z,317.28,330,-3.85,12,
910401,2026-04-20T01:00:00Z,510,510,0,12,
910402,2026-04-20T01:00:00Z,92,92,0,12,
910501,2026-04-20T01:00:00Z,22.067,22.067,0,12,
910502,2026-04-20T01:00:00Z,58.83,58.83,0,12,
910101,2026-04-20T02:00:00Z,2412.83,2412.83,0,12,
910102,2026-04-20T02:00:00Z,1940,1940,0,12,
910103,2026-04-20T02:00:00Z,0,0,,12,
910104,2026-04-20T02:00:00Z,520,520,0,12,
910105,2026-04-20T02:00:00Z,0,0,,12,
910106,2026-04-20T02:00:00Z,87.222,84,3.84,12,
910201,2026-04-20T02:00:00Z,992.83,992.83,0,12,
910202,2026-04-20T02:00:00Z,7.1,7,1.43,12,
910203,2026-04-20T02:00:00Z,12.4,12.6,-1.59,12,
910204,2026-04-20T02:00:00Z,4.6,4.6,0,12,
910205,2026-04-20T02:00:00Z,791.407,791.407,0,12,
910301,2026-04-20T02:00:00Z,316.614,306.614,3.26,12,
910302,2026-04-20T02:00:00Z,51,52,-1.92,12,
910303,2026-04-20T02:00:00Z,251.076,251.076,0,12,
