# Brunnenwasser (diagram 180)

1093 -> Summenzähler
1867 -> Summenzähler
3019 -> Summenzähler
Summenzähler -> 416
Summenzähler -> 228
Summenzähler -> 233
Summenzähler -> 234
Summenzähler -> 235
Summenzähler -> 236
Summenzähler -> 2987
Summenzähler -> 2988
Summenzähler -> 547
Summenzähler -> 1013
Summenzähler -> 1010
Summenzähler -> 231
Summenzähler -> 339
Summenzähler -> 230
Summenzähler -> 504
Summenzähler -> 512
Summenzähler -> 556
Summenzähler -> 415
Summenzähler -> 3501
Summenzähler -> 108
Summenzähler -> 245
Summenzähler -> 368
Summenzähler -> 30
Summenzähler -> 1275
Summenzähler -> 1274
Summenzähler -> 1407
Summenzähler -> 1406
Summenzähler -> 1715
Summenzähler -> 641
Summenzähler -> 638
Summenzähler -> 1574
Summenzähler -> 2273
Summenzähler -> 1091
