sensor_id,source,external_id,external_key,label,source_import_id,created_at,updated_at
1232,ukhd,8207,9042_KWKK_6530_8207 eon,9042_KWKK_6530_NT-Wingas_8207 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1233,ukhd,8212,9047_KWKK_6530_8212 eon,9047_KWKK_6530_HT-Uni_8212 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1234,ukhd,8220,9055_KWKK_6530_8220 eon,9055_KWKK_6530_Kälte GT-Luft_8220 eon,15,2026-06-08 19:57:43.713000,2026-06-22 15:20:25.693000
1235,ukhd,1096,3350_K_6672_1096 z,3350 K- ZIM-Verwaltungsgeb. 6672 z,15,2026-06-08 19:57:43.233000,2026-06-22 15:20:25.693000
1236,ukhd,1103,3332_HW_6672_1103 z,"3332 HW- ZIM-Verwaltungsgebäude, Geb.6672 z",15,2026-06-08 19:57:43.233000,2026-06-22 15:20:25.693000
1237,ukhd,973,3132_K_Radiologie_6400_973 z,"3132 K-Radiologie,Geb.6400 z",15,2026-06-08 19:57:43.230000,2026-06-22 15:20:25.693000
1238,ukhd,7911,4821_HW_INF_6136_7911 eon,4821 HW-Studentenwohnheime Geb.6136 eon,15,2026-06-08 19:57:43.690000,2026-06-22 15:20:25.693000
1239,ukhd,1400,3542_HW_6450_1400 z,3542 HW-Netzzähler Geb.6450 (HIT) z,15,2026-06-08 19:57:43.263000,2026-06-22 15:20:25.693000
1240,ukhd,444,3455_Uni_6360KW1_444 z,3455_Uni_Ãœbergabe Botanik z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1241,ukhd,261,1182_HW_6156_261 z,"1182 HW-Heizung, Geb.6156 z",15,2026-06-08 19:57:43.160000,2026-06-22 15:20:25.693000
1242,ukhd,719,3487_HW_6430_719 z,"3487 HW-Netzzähler Neue Kinderklinik,Geb.6430 z",15,2026-06-08 19:57:43.213000,2026-06-22 15:20:25.693000
1243,ukhd,630,3372_DA_6410_630 z,"3372 DA-Hauptzaehler, Geb.6410 z",15,2026-06-08 19:57:43.203000,2026-06-22 15:20:25.693000
1244,ukhd,8261,9096_KWKK_6530_8261 eon,9096_KWKK_6530_Strom-Turbo 8_8261 eon,15,2026-06-08 19:57:43.730000,2026-06-22 15:20:25.693000
1245,ukhd,8257,9092_KWKK_6530_8257 eon,9092_KWKK_6530_Strom-Turbo 4_8257 eon,15,2026-06-08 19:57:43.720000,2026-06-22 15:20:25.693000
1246,ukhd,1125,2845_DA_6670_1125 z,"2845 DA- Dampf für VZM, Geb 6670 z",15,2026-06-08 19:57:43.237000,2026-06-22 15:20:25.693000
1247,ukhd,239,2970_HW_6159_239 z,"2970 HW-Kindertagesstaette, Geb.6159 z",15,2026-06-08 19:57:43.160000,2026-06-22 15:20:25.693000
1248,ukhd,586,4675_K_6245_586 eon,4675 K-EINC_6245 eon,15,2026-06-08 19:57:43.200000,2026-06-22 15:20:25.693000
1249,ukhd,421,2537_Uni_6229HW1_421 z,2537 Uni HW-Geb.6229 z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1250,ukhd,509,3044_Uni_6226KW1_509 z,3044_Uni_6226KW1.0.0 z,15,2026-06-08 19:57:43.193000,2026-06-22 15:20:25.693000
1251,ukhd,8243,9078_KWKK_6530_8243 eon,9078_KWKK_6530_Turbo 3 _8243 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1252,ukhd,8256,9091_KWKK_6530_8256 eon,9091_KWKK_6530_Strom-Turbo 3_8256 eon,15,2026-06-08 19:57:43.720000,2026-06-22 15:20:25.693000
1253,ukhd,431,1356_Uni_6360HW1_431 z,"1356 HW-Bot.Institut,Geb.6360 z",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1254,ukhd,420,2842_Uni_6227HW1_420 z,2842_Uni_Ãœbergabe z,15,2026-06-08 19:57:43.180000,2026-06-22 15:20:25.693000
1255,ukhd,442,2948_Uni_6282KW1_442 z,"2948 K-Einkauf ZMBH, Geb.6282 z",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1256,ukhd,8254,9089_KWKK_6530_8254 eon,9089_KWKK_6530_KäZ-2 Eintritt Eurowater_8254 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1257,ukhd,7882,4792_HW_INF_6242_7882 eon,4792 HW-DKFZ ATV INF 6242 eon,15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1258,ukhd,7894,4804_HW_6560_7894 z,4804 HW-Pädagogische Hochschule Geb.6560-6563 z,15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1259,ukhd,1385,3544_K_6450_1385 z,3544 K-Netzzähler Klimakälte Geb.6450 (HIT) z,15,2026-06-08 19:57:43.263000,2026-06-22 15:20:25.693000
1260,ukhd,423,1257_Uni_6236HW1_423 z,1257_Uni_6236HW1.0.0 z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1261,ukhd,8218,9053_KWKK_6530_8218 eon,9053_KWKK_6530_Kälte Uni_8218 eon,15,2026-06-08 19:57:43.713000,2026-06-22 15:20:25.693000
1262,ukhd,2499,4529_HW_6420_2499 z,"4529 HW-Neue Chirurgie  NBCH, 6420 z",15,2026-06-08 19:57:43.460000,2026-06-22 15:20:25.693000
1263,ukhd,8236,9071_KWKK_6530_8236 eon,9071_KWKK_6530_Turbo 8_8236 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1264,ukhd,8208,9043_KWKK_6530_8208 eon,9043_KWKK_6530_HT-Wingas_8208 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1266,ukhd,422,1258_Uni_6230HW1_422 z,1258_Uni_Ãœbergabe  RWE z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1267,ukhd,302,2678_HW_6350_302 z,"2678 HW-Otto Meyerhof Zentrum, Geb.6350 z",15,2026-06-08 19:57:43.167000,2026-06-22 15:20:25.693000
1268,ukhd,8255,9090_KWKK_6530_8255 eon,9090_KWKK_6530_KäZ-2 Abwasser Eurowater_8255 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1269,ukhd,8240,9075_KWKK_6530_8240 eon,9075_KWKK_6530_Turbo 5_8240 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1270,ukhd,7881,4791_HW_INF_6535_6536_7881 eon,"4791 HW-Max-Planck- Institut, INF 6535 / 6536 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1271,ukhd,8205,9040_KWKK_6530_8205 eon,9040_KWKK_6530_HT-Tech._8205 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1272,ukhd,8239,9074_KWKK_6530_8239 eon,9074_KWKK_6530_Turbo 4_8239 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1273,ukhd,585,4674_HW_6225_585 eon,4674 HW-EINC_6245 eon,15,2026-06-08 19:57:43.200000,2026-06-22 15:20:25.693000
1274,ukhd,1744,2603_HW_6110_1744 z,2603 HW-für Dampferzeuger z,15,2026-06-08 19:57:43.280000,2026-06-22 15:20:25.693000
1275,ukhd,425,1255_Uni_6253HW1_425 z,1255_Uni_Ãœbergabe GHZ z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1276,ukhd,1181,1363_HW_6670_1181 z,1363 HW-(BW-Erwärm mitFernw+Zwischenmedium) z,15,2026-06-08 19:57:43.243000,2026-06-22 15:20:25.693000
1277,ukhd,1174,1362_HW_6670_1174 z,1362 HW-Gesamtheizung RH+RTL f. 6670 z,15,2026-06-08 19:57:43.240000,2026-06-22 15:20:25.693000
1278,ukhd,7913,4798_HW_INF_6222_7913 eon,"4798 HW-REZ-DKFZ, INF 6222 eon",15,2026-06-08 19:57:43.690000,2026-06-22 15:20:25.693000
1279,ukhd,8246,9081_KWKK_6530_8246 eon,"9081_KWKK_6530_KäZ-2, Npp.3_8246 eon",15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1280,ukhd,436,2908_K_6227KW1_436 eon,"2908 K-Einkauf Kirchhofinstitut, Geb.6227 eon",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1282,ukhd,542,1424_Uni_6229KW1_542 z,1424_Uni_6229KW1.0.0 z,15,2026-06-08 19:57:43.197000,2026-06-22 15:20:25.693000
1283,ukhd,7883,4793_HW_INF_6280_7883 eon,4793 HW-DKFZ Hochhaus Geb.6280 eon,15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1284,ukhd,8258,9093_KWKK_6530_8258 eon,9093_KWKK_6530_Strom-Turbo 5_8258 eon,15,2026-06-08 19:57:43.720000,2026-06-22 15:20:25.693000
1285,ukhd,8247,9082_KWKK_6530_8247 eon,"9082_KWKK_6530_KäZ-2, Npp.5_8247 eon",15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1286,ukhd,1716,1199_HW_6110_1716 z,"1199 HW-Heizzentrale, Geb.6110 z",15,2026-06-08 19:57:43.277000,2026-06-22 15:20:25.693000
1287,ukhd,7885,4795_HW_INF_6243_7885 eon,"4795 HW-DKFZ Tesla 7, Geb.6243 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1288,ukhd,1123,3556_DA_6670_1123 z,3556 DA-Gesamt-Kondensat von  6400+6670 z,15,2026-06-08 19:57:43.237000,2026-06-22 15:20:25.693000
1289,ukhd,7889,4799_K_INF_6222_7889 eon,"4799 K-REZ DKFZ, INF 6222 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1290,ukhd,426,3156_Uni_6267HW1_426 z,"3156 HW-Hauptzähler Bioquant, Geb.6267 z",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1291,ukhd,8168,9003_KWKK_6530_8168 hz,9003_KWKK_6530_Strom-Lieferung HT 2.8.1_8168 hz,15,2026-06-08 19:57:43.700000,2026-06-22 15:20:25.693000
1292,ukhd,8181,9016_KWKK_6530_8181 eon,9016_KWKK_6530_HT-AHK_8181 eon,15,2026-06-08 19:57:43.700000,2026-06-22 15:20:25.693000
1293,ukhd,8241,9076_KWKK_6530_8241 eon,9076_KWKK_6530_Turbo 6_8241 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1294,ukhd,1737,1194_HW_6114_1737 z,"1194 HW-Heizzentrale, Geb.6114 z",15,2026-06-08 19:57:43.280000,2026-06-22 15:20:25.693000
1295,ukhd,7910,4820_HW_INF_6133_7910 eon,4820 HW-Studentenwohnheime Geb.6133 eon,15,2026-06-08 19:57:43.690000,2026-06-22 15:20:25.693000
1296,ukhd,875,3331_K_6410_875 z,"3331 K-Einkauf  Medizin.Klinik, Geb.6410 z",15,2026-06-08 19:57:43.220000,2026-06-22 15:20:25.693000
1297,ukhd,8222,9057_KWKK_6530_8222 eon,9057_KWKK_6530_Kälte Ost_8222 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1298,ukhd,8250,9085_KWKK_6530_8250 eon,"9085_KWKK_6530_KäZ-2, Benetzung_8250 eon",15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1299,ukhd,1490,1093_HW_6400_1490 z,1093 HW-Heizung (RH und RTL)  KoKli (Geb6400) z,15,2026-06-08 19:57:43.270000,2026-06-22 15:20:25.693000
1300,ukhd,309,3755_HW_6460_309 z,"3755 HW-NCT, Geb.6460 z",15,2026-06-08 19:57:43.167000,2026-06-22 15:20:25.693000
1301,ukhd,440,3560_Uni_6267KW1_440 z,"3560 K-Einkauf Bioquant, Geb.6267 z",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1302,ukhd,8251,9086_KWKK_6530_8251 eon,9086_KWKK_6530_KäZ-2 Ktg 7_8251 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1303,ukhd,1338,2950_K_6670_1338 z,"2950 K-VZM, Geb.6670 z",15,2026-06-08 19:57:43.257000,2026-06-22 15:20:25.693000
1304,ukhd,8237,9072_KWKK_6530_8237 eon,9072_KWKK_6530_Kälte AKM 1_8237 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1305,ukhd,7893,4803_HW_6371_7893 eon,4803 HW-Gästehaus 2 der Universität 371 eon,15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1306,ukhd,8252,9087_KWKK_6530_8252 eon,9087_KWKK_6530_KäZ-2 Ktg 8_8252 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1307,ukhd,7891,4801_HW_6162_7891 z,4801 HW-Nierenzentrum Geb.6162 z,15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1308,ukhd,2035,4750_K-ZHAIL_2035 z,4750 K-ZHAIL Neubau Apotheke z,15,2026-06-08 19:57:43.297000,2026-06-22 15:20:25.693000
1309,ukhd,316,3911_K_6460_316 z,"3911 K-NCT, Geb.6460 z",15,2026-06-08 19:57:43.167000,2026-06-22 15:20:25.693000
1310,ukhd,7887,4797_K_INF_6242_7887 eon,"4797 K-DKFZ, ATV, Geb.6242 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1311,ukhd,553,3174_K_6225KW1_553 eon,3174_Uni_6225KW1.0.0 eon,15,2026-06-08 19:57:43.200000,2026-06-22 15:20:25.693000
1312,ukhd,441,3699_Uni_6270KW1_441 z,3699_Uni_Ãœbergabe z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1313,ukhd,1378,3543_K_6450_1378 z,3543 K-Netzzähler Masch.Kühlung Geb.6450(HIT) z,15,2026-06-08 19:57:43.260000,2026-06-22 15:20:25.693000
1314,ukhd,1767,3488_K_6430_1767 z,"3488 K- Einkauf Neue Kinderklinik,Geb.6430 z",15,2026-06-08 19:57:43.283000,2026-06-22 15:20:25.693000
1315,ukhd,7920,4830_K_INF_6289_7920 eon,4830 K-HÃ¶rsaal und Lernzentrum Geb.6289 eon,15,2026-06-08 19:57:43.690000,2026-06-22 15:20:25.693000
1316,ukhd,8209,9044_KWKK_6530_8209 eon,9044_KWKK_6530_NT-intern_8209 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1317,ukhd,1723,2859_K_6111_1723 z,"2859 K-Einkauf Chirurgie, Geb.6111 z",15,2026-06-08 19:57:43.280000,2026-06-22 15:20:25.693000
1318,ukhd,424,1259_Uni_6270 HW_424 z,"1259 HW-Chemie-HÃ¶rsaal Notversorgung,Geb.6270 z",15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1319,ukhd,7898,4808_K_INF_6529_7898 muc,"4808 K-Bio-Repository, Geb. 6529 muc",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1320,ukhd,874,2974_HW_6410_874 z,"2974 HW-Medizinische Klinik, Geb. 6410 z",15,2026-06-08 19:57:43.220000,2026-06-22 15:20:25.693000
1321,ukhd,2238,3081_HW_6130_2238 z,"3081 HW-Marsiliustürme, Geb.6130 z",15,2026-06-08 19:57:43.350000,2026-06-22 15:20:25.693000
1322,ukhd,8219,9054_KWKK_6530_8219 eon,9054_KWKK_6530_Kälte TP_8219 eon,15,2026-06-08 19:57:43.713000,2026-06-22 15:20:25.693000
1323,ukhd,8253,9088_KWKK_6530_8253 eon,9088_KWKK_6530_KäZ-2 Ktg 9_8253 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1324,ukhd,8260,9095_KWKK_6530_8260 eon,9095_KWKK_6530_Strom-Turbo 7_8260 eon,15,2026-06-08 19:57:43.720000,2026-06-22 15:20:25.693000
1325,ukhd,7919,4829_HW_INF_6289_7919 eon,4829 HW-HÃ¶rsaal und Lernzentrum Geb.6289 eon,15,2026-06-08 19:57:43.690000,2026-06-22 15:20:25.693000
1326,ukhd,8204,9039_KWKK_6530_8204 eon,9039_KWKK_6530_NT-intern 2_8204 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1327,ukhd,8166,9001_KWKK_6530_8166 hz,9001_KWKK_6530_Strom-Bezug HT 1.8.1_8166 hz,15,2026-06-08 19:57:43.700000,2026-06-22 15:20:25.693000
1328,ukhd,8259,9094_KWKK_6530_8259 eon,9094_KWKK_6530_Strom-Turbo 6_8259 eon,15,2026-06-08 19:57:43.720000,2026-06-22 15:20:25.693000
1329,ukhd,268,1223_HW_6132_268 z,"1223 HW-Heizung, Geb.6132 z",15,2026-06-08 19:57:43.163000,2026-06-22 15:20:25.693000
1330,ukhd,8264,9099_KWKK_6530_8264 eon,9099_KWKK_6530_KäZ-2-Strom_8264 eon,15,2026-06-08 19:57:43.730000,2026-06-22 15:20:25.693000
1331,ukhd,8206,9041_KWKK_6530_8206 eon,9041_KWKK_6530_NT-Tech._8206 eon,15,2026-06-08 19:57:43.703000,2026-06-22 15:20:25.693000
1332,ukhd,7900,4810_HW_INF_6129_7900 eon,"4810 HW-Studentenhochhaus, INF 129 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1333,ukhd,1552,2949_K_6220_1552 z ausbeb.,"2949 K-Pathologie, Geb.6220 z beendet Gebäude in der Sanierung",12,2026-06-08 19:57:43.273000,2026-06-09 10:45:26.867000
1334,ukhd,8221,9056_KWKK_6530_8221 eon,9056_KWKK_6530_HT-AKM_8221 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
1335,ukhd,7899,4809_HW_INF_6678_7899 eon,"4809 HW-Wohngebäude, INF 678 eon",15,2026-06-08 19:57:43.687000,2026-06-22 15:20:25.693000
1336,ukhd,438,3573_Uni_6253KW1_438 z,3573_Uni_Ãœbergabe GHV z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1337,ukhd,1545,1203_HW_6220_1545 z,"1203 HW-Energiezentrale, Geb.6220 ausgeb.",15,2026-06-08 19:57:43.273000,2026-06-22 15:20:25.693000
1338,ukhd,3365,2846_DA_6400_3365 eon,"2846 DA-KondensatRücklauf  KoKli, Geb.6400 eon",15,2026-06-08 19:57:43.600000,2026-06-22 15:20:25.693000
1339,ukhd,2034,4749_HW-6667_2034 z,4749 HW-ZHAIL Neubau Apotheke z,15,2026-06-08 19:57:43.297000,2026-06-22 15:20:25.693000
1340,ukhd,437,3563_Uni_6231KW1_437 z,3563_K_Zoologie 6231 z,15,2026-06-08 19:57:43.183000,2026-06-22 15:20:25.693000
1341,ukhd,8238,9073_KWKK_6530_8238 eon,9073_KWKK_6530_Kälte AKM 2_8238 eon,15,2026-06-08 19:57:43.717000,2026-06-22 15:20:25.693000
