sensor_id,name,device_id,unit,irregular,cumulative,energy_type,source_type,protected,created_at
1232,8207,301,kWh,True,True,heating,,False,2026-03-16 22:07:56.380000
1233,8212,301,kWh,True,True,heating,,False,2026-03-16 22:07:57.317000
1234,8220,301,kWh,True,True,cold,,False,2026-03-16 22:07:57.443000
1235,1096,301,kWh,True,True,cold,,False,2026-03-16 22:07:57.553000
1236,1103,301,kWh,True,True,heating,,False,2026-03-16 22:07:57.673000
1237,973,301,kWh,True,True,cold,,False,2026-03-16 22:07:57.767000
1238,7911,301,kWh,True,True,heating,,False,2026-03-16 22:07:57.980000
1239,1400,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.090000
1240,444,301,kWh,True,True,cold,,False,2026-03-16 22:07:58.200000
1241,261,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.327000
1242,719,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.437000
1243,630,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.523000
1244,8261,301,kWh,True,True,electricity,,False,2026-03-16 22:07:58.610000
1245,8257,301,kWh,True,True,electricity,,False,2026-03-16 22:07:58.753000
1246,1125,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.823000
1247,239,301,kWh,True,True,heating,,False,2026-03-16 22:07:58.910000
1248,586,301,kWh,True,True,cold,,False,2026-03-16 22:07:59
1249,421,301,kWh,True,True,heating,,False,2026-03-16 22:07:59.093000
1250,509,301,kWh,True,True,cold,,False,2026-03-16 22:07:59.190000
1251,8243,301,kWh,True,True,cold,,False,2026-03-16 22:07:59.330000
1252,8256,301,kWh,True,True,electricity,,False,2026-03-16 22:07:59.410000
1253,431,301,kWh,True,True,heating,,False,2026-03-16 22:07:59.543000
1254,420,301,kWh,True,True,heating,,False,2026-03-16 22:07:59.620000
1255,442,301,kWh,True,True,cold,,False,2026-03-16 22:07:59.717000
1256,8254,301,m³,True,True,water,,False,2026-03-16 22:07:59.810000
1257,7882,301,kWh,True,True,heating,,False,2026-03-16 22:07:59.943000
1258,7894,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.077000
1259,1385,301,kWh,True,True,cold,,False,2026-03-16 22:08:00.157000
1260,423,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.283000
1261,8218,301,kWh,True,True,cold,,False,2026-03-16 22:08:00.370000
1262,2499,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.407000
1263,8236,301,kWh,True,True,cold,,False,2026-03-16 22:08:00.503000
1264,8208,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.590000
1265,2925,301,kWh,True,True,,,False,2026-03-16 22:08:00.697000
1266,422,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.763000
1267,302,301,kWh,True,True,heating,,False,2026-03-16 22:08:00.880000
1268,8255,301,m³,True,True,water,,False,2026-03-16 22:08:00.937000
1269,8240,301,kWh,True,True,cold,,False,2026-03-16 22:08:01.037000
1270,7881,301,kWh,True,True,heating,,False,2026-03-16 22:08:01.143000
1271,8205,301,kWh,True,True,heating,,False,2026-03-16 22:08:01.230000
1272,8239,301,kWh,True,True,cold,,False,2026-03-16 22:08:01.323000
1273,585,301,kWh,True,True,heating,,False,2026-03-16 22:08:01.513000
