date,outdoor_temp_c,flow_temp_c,return_temp_c,energy_kwh
2026-05-29,17.0,60.1,49.7,96
2026-05-30,18.3,60.2,51.8,95
2026-05-31,17.8,59.8,49.9,99
2026-06-01,17.5,60.7,50.0,91
2026-06-02,17.0,59.1,49.5,94
2026-06-03,18.5,58.5,48.1,96
2026-06-04,18.3,61.4,50.2,98
2026-06-05,18.2,60.5,51.5,90
2026-06-06,19.7,61.9,52.7,91
2026-06-07,20.0,59.4,49.2,96
2026-06-08,20.5,58.6,47.2,102
2026-06-09,19.4,58.1,49.8,99
2026-06-10,20.0,60.1,51.0,95
2026-06-11,21.0,58.4,47.8,95
2026-06-12,20.3,60.5,48.6,96
2026-06-13,20.6,59.4,51.2,102
2026-06-14,20.8,61.0,51.8,100
2026-06-15,20.8,61.4,52.7,95
2026-06-16,28.9,60.5,52.0,147
2026-06-17,28.4,61.7,50.3,147
2026-06-18,28.7,61.7,51.3,147
2026-06-19,28.7,60.1,52.0,152
2026-06-20,28.9,59.6,51.1,143
2026-06-21,30.5,60.2,50.1,153
2026-06-22,23.2,60.5,49.0,120
2026-06-23,23.5,60.4,50.1,116
2026-06-24,22.3,60.6,50.0,115
2026-06-25,24.4,58.5,50.0,123
2026-06-26,25.4,59.4,47.7,126
2026-06-27,25.0,60.6,52.3,123
