date,outdoor_temp_c,flow_temp_c,return_temp_c,energy_kwh
2026-05-29,17.4,58.9,50.0,136
2026-05-30,16.8,61.6,51.8,142
2026-05-31,18.2,58.1,49.6,136
2026-06-01,16.8,60.0,51.4,141
2026-06-02,17.2,60.2,49.1,142
2026-06-03,19.1,58.4,47.8,139
2026-06-04,17.0,58.2,47.7,140
2026-06-05,17.8,59.1,47.8,135
2026-06-06,18.4,58.2,49.0,138
2026-06-07,18.1,59.3,49.8,135
2026-06-08,18.0,59.7,51.5,144
2026-06-09,20.1,58.1,49.7,141
2026-06-10,19.3,61.3,52.5,139
2026-06-11,20.8,59.8,48.2,144
2026-06-12,19.6,59.1,49.4,143
2026-06-13,20.8,60.4,48.9,140
2026-06-14,20.6,61.0,52.6,138
2026-06-15,20.8,61.1,51.2,149
2026-06-16,28.2,58.5,50.5,191
2026-06-17,28.9,59.5,49.9,191
2026-06-18,27.9,61.3,52.6,187
2026-06-19,28.2,61.8,52.4,190
2026-06-20,30.7,59.2,48.4,203
2026-06-21,29.9,59.0,47.3,199
2026-06-22,24.5,60.1,50.7,169
2026-06-23,22.0,60.2,52.0,336
2026-06-24,22.7,59.9,49.7,160
2026-06-25,23.7,59.9,51.0,157
2026-06-26,23.9,59.1,48.7,162
2026-06-27,25.4,60.5,49.5,174
